,0
0,
1,"[[['x, y, z']]]"
2,"[[['x, y, z'], ['x, y, z']], [['x, y, z', '-x, -y, -z']]]"
3,"[[['x, y, z'], ['x, y, z']], [['x, y, z', '-x, -y, z']]]"
4,"[[['x, y, z'], ['x, y, z']], [['x, y, z', 'x, y, -z']]]"
5,"[[['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']], [['x, y, z', 'x, -y, z'], ['x, y, z', 'x, -y, z']], [['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z']], [['x, y, z', 'x, -y, z']]]"
6,"[[['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']], [['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z']], [['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z']], [['x, y, z', 'x, -y, -z'], ['x, y, z', 'x, -y, -z']], [['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z']]]"
7,"[[['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']], [['x, y, z', '-x, y, z'], ['x, y, z', '-x, y, z']], [['x, y, z', 'x, -y, z'], ['x, y, z', 'x, -y, z']], [['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z']]]"
8,"[[['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']], [['x, y, z', 'x, y, -z'], ['x, y, z', 'x, y, -z'], ['x, y, z', 'x, y, -z'], ['x, y, z', 'x, y, -z']], [['x, y, z', 'x, -y, z'], ['x, y, z', 'x, -y, z'], ['x, y, z', 'x, -y, z'], ['x, y, z', 'x, -y, z']], [['x, y, z', '-x, y, z'], ['x, y, z', '-x, y, z'], ['x, y, z', '-x, y, z'], ['x, y, z', '-x, y, z']], [['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z'], ['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z']], [['x, y, z', '-x, y, -z', 'x, y, -z', '-x, y, z'], ['x, y, z', '-x, y, -z', 'x, y, -z', '-x, y, z']], [['x, y, z', 'x, -y, -z', 'x, y, -z', 'x, -y, z'], ['x, y, z', 'x, -y, -z', 'x, y, -z', 'x, -y, z']], [['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z']]]"
9,"[[['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']], [['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z']]]"
